city_id,year,avg_gross_monthly_wage_pln,population_mid_year,primary_annual_transaction_price_pln_m2,secondary_annual_transaction_price_pln_m2,primary_price_quarters_available,secondary_price_quarters_available,primary_affordability_m2,primary_annual_price_yoy_pct,primary_affordability_yoy_pct,secondary_affordability_m2,secondary_annual_price_yoy_pct,secondary_affordability_yoy_pct,wage_yoy_pct,transactions,transaction_quarters_available,sold_units,sold_units_quarters_available,sold_area_m2,sold_area_quarters_available,avg_sold_area_m2,transactions_full_year_available,sold_units_full_year_available,transactions_per_1000,sold_units_per_1000,completed,started,completed_months_available,started_months_available,started_full_year_available,completed_full_year_available,started_per_1000,completed_per_1000,completed_h1,started_h1,completed_h1_months_available,started_h1_months_available,started_h1_yoy_pct,completed_h1_yoy_pct
5,2017,5290.36,297197.0,5175.449307957145,3608.1517645616814,4.0,4.0,1.0222030369162698,2.9497213261518107,-2.5797783914388805,1.4662243567359128,3.019693267745449,-2.645947119380221,0.2938466613331858,1559.0,4.0,1610.0,4.0,85427.70000000001,4.0,53.06068322981367,True,True,5.245678792181617,5.41728213945632,1642.0,1427.0,12.0,12.0,True,True,4.801528952176503,5.524954827942408,551.0,719.0,6.0,6.0,-39.73176865046102,-17.391304347826086
5,2018,5698.98,295449.0,5503.524801023182,4072.8342001674664,4.0,4.0,1.0355145485926547,6.339072678417068,1.302237539475759,1.3992663879530547,12.878683213100238,-4.566693253679055,7.723860001965832,1820.0,4.0,1876.0,4.0,102209.5,4.0,54.48267590618337,True,True,6.1601156206316485,6.349657639728007,894.0,3106.0,12.0,12.0,True,True,10.512812702023023,3.025902947716865,376.0,1514.0,6.0,6.0,110.57023643949933,-31.76043557168784
5,2019,6175.8,293636.0,6609.915061885179,4642.6270811417235,4.0,4.0,0.9343236550211634,20.103302898831377,-9.772039775686158,1.3302382233296317,13.990082899785804,-4.933168209979099,8.366760367644744,1656.0,4.0,1707.0,4.0,94905.20000000001,4.0,55.59765670767429,True,True,5.639635467040826,5.813319892656214,1344.0,2783.0,12.0,12.0,True,True,9.477720715443612,4.577095451511395,631.0,1291.0,6.0,6.0,-14.72919418758256,67.81914893617021
5,2020,6525.94,287590.0,6989.039775256407,5262.725525370267,4.0,4.0,0.9337391415490381,5.7356972036959775,-0.06256006352659549,1.2400304687257764,13.35662833543907,-6.781323301480713,5.669548884355047,1513.0,4.0,1531.0,4.0,80599.6,4.0,52.64506858262574,True,True,5.260961785875726,5.323550888417539,3451.0,1616.0,12.0,12.0,True,True,5.619110539309434,11.999721826210926,1226.0,289.0,6.0,6.0,-77.61425251742835,94.29477020602219
5,2021,6924.74,284957.0,7960.196218611005,5657.86963094032,4.0,4.0,0.869920767004449,13.895420180506402,-6.8347112919264426,1.2239129657798653,7.508354818528229,-1.2997666873841407,6.110997036442267,1360.0,4.0,1379.0,4.0,71724.3,4.0,52.0118201595359,True,True,4.772649908582698,4.839326635246721,2325.0,4847.0,12.0,12.0,True,True,17.009583902132604,8.159125762834393,1323.0,2142.0,6.0,6.0,641.1764705882354,7.911908646003263
5,2022,8017.49,281418.0,9317.114533688902,6282.034628140828,4.0,4.0,0.8605121221822798,17.046292299998967,-1.0815519273746799,1.2762568936002157,11.03180239055408,4.27676879679082,15.780375869707752,,2.0,,2.0,,2.0,,False,False,,,1870.0,1264.0,12.0,12.0,True,True,4.4915392760946355,6.6449196568805124,787.0,716.0,6.0,6.0,-66.5732959850607,-40.51398337112623
5,2023,9105.52,279119.0,9717.582695062862,6842.72769132366,4.0,4.0,0.9370149229217439,4.298199404181879,8.89038036389902,1.330685716391357,8.925341809979304,4.264723118368607,13.570706043911507,,2.0,4031.0,4.0,214718.0,4.0,53.26668320516001,False,True,,14.441868880298367,2968.0,2513.0,12.0,12.0,True,True,9.003328329493872,10.633457414221173,679.0,940.0,6.0,6.0,31.28491620111731,-13.722998729351964
5,2024,10051.54,278090.0,11489.71722031723,7796.060830890309,4.0,4.0,0.8748291892010966,18.236371954464815,-6.636578799272852,1.289310103914635,13.932063097811742,-3.1093452020306556,10.389521960305403,5710.0,4.0,5565.0,4.0,293728.3,4.0,52.78136567834681,True,True,20.532920996799596,20.01150706605775,2664.0,3818.0,12.0,12.0,True,True,13.729368190154267,9.579632493077781,1165.0,2393.0,6.0,6.0,154.5744680851064,71.57584683357878
5,2025,10801.86,277884.0,11885.467285214052,8160.589806789118,4.0,4.0,0.9088292231840057,3.4443847251263815,3.8864768577232978,1.3236616783524036,4.67580979428015,2.6643376433233,7.464726798082677,,,,,,,,,,,,2334.0,3291.0,12.0,12.0,True,True,11.84307120956946,8.399188150451268,1269.0,2325.0,6.0,6.0,-2.84162139573757,8.927038626609441
5,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.0,1532.0,6.0,6.0,-34.10752688172043,11.899133175728927
