"Kod";"Nazwa";"Zakres terytorialny";"Miejsce zamieszkania / zameldowania";"Stan na dzień";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2001";998449;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2002";997979;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2003";1065163;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2004";1064156;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2005";1062559;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2006";1060858;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2007";1060277;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2008";1060459;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2009";1061008;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2010";1078150;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2011";1078011;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2012";1077804;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2013";1013669;"osoba";"";
