"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2017";2888,4;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2018";5516,1;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2019";7050,8;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2020";5784,8;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2021";7331,9;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2022";4684,3;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2023";7832,0;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2024";7424,0;"m2";"";
2213000;"Powiat starogardzki";"3 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2010";2450,3;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2011";1999,1;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2012";2829,9;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2013";4004,9;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2014";4098,2;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2015";1739,2;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2016";2526,8;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2017";3558,0;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2018";4308,1;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2019";4604,1;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2020";7902,1;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2021";10030,4;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2022";7792,5;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2023";8068,0;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2024";6237,0;"m2";"";
2213000;"Powiat starogardzki";"4 kwartał";"ogółem";"ogółem";"2025";;"m2";"n";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2010";8457,7;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2011";3990,0;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2012";7771,4;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2013";4635,2;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2014";6776,0;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2015";5171,3;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2016";5908,5;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2017";9647,1;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2018";9221,7;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2019";7893,7;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2020";9301,9;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2021";5875,7;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2022";11857,4;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2023";9105,0;"m2";"";
2214000;"Powiat tczewski";"1 kwartał";"ogółem";"ogółem";"2024";9712,0;"m2";"";
