geography,geography_type,nbp_period,nbp_year,nbp_quarter,nbp_period_order,hedonic_qoq_index,hedonic_yoy_index,nbp_period_source
Łódź,city,2019Q1,2019,1,20191,103.10751019883406,115.47669136820711,I 2019
Białystok,city,2020Q1,2020,1,20201,104.24406029577106,110.5251528619721,I 2020
Bydgoszcz,city,2020Q1,2020,1,20201,101.40014738393515,113.25102880658436,I 2020
Katowice,city,2020Q1,2020,1,20201,107.86812191690545,115.64319084991594,I 2020
Kielce,city,2020Q1,2020,1,20201,101.68171471518677,112.76457145426512,I 2020
Kraków,city,2020Q1,2020,1,20201,107.33418653985379,118.9281172837563,I 2020
Lublin,city,2020Q1,2020,1,20201,102.21674876847291,112.36462093862815,I 2020
Olsztyn,city,2020Q1,2020,1,20201,99.50766747376916,112.04107597237368,I 2020
Opole,city,2020Q1,2020,1,20201,100.07732104512411,109.88643366050144,I 2020
Poznań,city,2020Q1,2020,1,20201,101.35758367765352,108.54313274961784,I 2020
Rzeszów,city,2020Q1,2020,1,20201,104.42857142857143,110.33962264150942,I 2020
Szczecin,city,2020Q1,2020,1,20201,100.65633174693764,114.6712577961434,I 2020
Trójmiasto,city_group,2020Q1,2020,1,20201,101.41099202396519,113.16438849746315,I 2020
Warszawa,city,2020Q1,2020,1,20201,102.05011992964621,111.03638156483706,I 2020
Wrocław,city,2020Q1,2020,1,20201,98.204361228124,116.7570470913845,I 2020
Zielona Góra,city,2020Q1,2020,1,20201,111.99867703214055,127.3679449073483,I 2020
Łódź,city,2020Q1,2020,1,20201,101.8899388549194,111.35832077109656,I 2020
Białystok,city,2021Q1,2021,1,20211,100.60269705069891,107.866920619879,I 2021
Bydgoszcz,city,2021Q1,2021,1,20211,99.78494623655914,101.16279069767442,I 2021
Katowice,city,2021Q1,2021,1,20211,100.2602109944972,103.04582120774486,I 2021
Kielce,city,2021Q1,2021,1,20211,102.2039155013425,107.50471638971352,I 2021
Kraków,city,2021Q1,2021,1,20211,102.8842652891629,107.64081298759498,I 2021
Lublin,city,2021Q1,2021,1,20211,101.19225037257826,109.07630522088354,I 2021
Olsztyn,city,2021Q1,2021,1,20211,102.63462875685698,107.74596479844269,I 2021
Opole,city,2021Q1,2021,1,20211,100.89152964792302,113.79579050520286,I 2021
Poznań,city,2021Q1,2021,1,20211,100.5057910268698,104.91098377574393,I 2021
Rzeszów,city,2021Q1,2021,1,20211,99.2748846407383,103.00957592339262,I 2021
Szczecin,city,2021Q1,2021,1,20211,99.8381019702372,107.49085457615853,I 2021
Trójmiasto,city_group,2021Q1,2021,1,20211,103.41486320024306,105.94606945463092,I 2021
Warszawa,city,2021Q1,2021,1,20211,100.31464309785112,105.58944925520366,I 2021
Wrocław,city,2021Q1,2021,1,20211,101.56637102679097,109.28478206671667,I 2021
Zielona Góra,city,2021Q1,2021,1,20211,96.81722004674756,94.36499528661967,I 2021
Łódź,city,2021Q1,2021,1,20211,103.6691683723751,106.5778193437768,I 2021
Białystok,city,2022Q1,2022,1,20221,103.7365144239132,119.83153070600301,I 2022
Bydgoszcz,city,2022Q1,2022,1,20221,100.76873798846894,113.00287356321842,I 2022
Katowice,city,2022Q1,2022,1,20221,106.94995129705677,118.91501152085343,I 2022
Kielce,city,2022Q1,2022,1,20221,104.98807519553985,120.42293034052662,I 2022
Kraków,city,2022Q1,2022,1,20221,100.70894255015264,111.498174104409,I 2022
Lublin,city,2022Q1,2022,1,20221,107.67703507610852,119.8085419734904,I 2022
Olsztyn,city,2022Q1,2022,1,20221,107.15612743411543,117.23125564588977,I 2022
Opole,city,2022Q1,2022,1,20221,105.4358169331097,110.23338924535761,I 2022
Poznań,city,2022Q1,2022,1,20221,104.33678189060107,113.9645189783408,I 2022
Rzeszów,city,2022Q1,2022,1,20221,97.0625,103.12084993359896,I 2022
Szczecin,city,2022Q1,2022,1,20221,106.98588309464994,122.71386963552789,I 2022
Trójmiasto,city_group,2022Q1,2022,1,20221,100.00632742857378,107.30097284470557,I 2022
Warszawa,city,2022Q1,2022,1,20221,103.51044643233205,114.43663307843144,I 2022
Wrocław,city,2022Q1,2022,1,20221,102.63367779187584,114.0916174836627,I 2022
Zielona Góra,city,2022Q1,2022,1,20221,100.63085921266396,118.62898426806352,I 2022
Łódź,city,2022Q1,2022,1,20221,107.97904493250053,117.56489945155393,I 2022
Białystok,city,2023Q1,2023,1,20231,103.48493797991729,107.48466257668711,I 2023
Bydgoszcz,city,2023Q1,2023,1,20231,100.06242197253434,101.90718372536554,I 2023
Katowice,city,2023Q1,2023,1,20231,103.75910767184125,105.61316704542017,I 2023
Kielce,city,2023Q1,2023,1,20231,99.48215250143176,107.97713130202003,I 2023
Kraków,city,2023Q1,2023,1,20231,99.9188143178252,111.90229768016304,I 2023
Lublin,city,2023Q1,2023,1,20231,103.8634940513463,101.94837123540259,I 2023
Olsztyn,city,2023Q1,2023,1,20231,97.67633278460175,99.06247993321777,I 2023
Opole,city,2023Q1,2023,1,20231,103.60780625952025,109.61854684671385,I 2023
Poznań,city,2023Q1,2023,1,20231,100.28299303209631,104.85282932153976,I 2023
Rzeszów,city,2023Q1,2023,1,20231,100.43997485857952,102.89761751448809,I 2023
Szczecin,city,2023Q1,2023,1,20231,97.3859388169974,103.37630248547728,I 2023
Trójmiasto,city_group,2023Q1,2023,1,20231,102.1386614564486,106.20547543995431,I 2023
Warszawa,city,2023Q1,2023,1,20231,98.19808717310673,99.82140783923131,I 2023
Wrocław,city,2023Q1,2023,1,20231,99.84012199192281,112.93473033127688,I 2023
Zielona Góra,city,2023Q1,2023,1,20231,105.27830645711869,115.27017981905261,I 2023
Łódź,city,2023Q1,2023,1,20231,102.55721696673787,104.52198793307208,I 2023
Białystok,city,2024Q1,2024,1,20241,103.86447856008469,111.986301369863,I 2024
Bydgoszcz,city,2024Q1,2024,1,20241,104.21760119716697,114.48982888846602,I 2024
Katowice,city,2024Q1,2024,1,20241,105.32193803389663,115.12392617264055,I 2024
Kielce,city,2024Q1,2024,1,20241,103.90425159949204,113.14700439933631,I 2024
Kraków,city,2024Q1,2024,1,20241,108.83334936323227,122.71977170438728,I 2024
Lublin,city,2024Q1,2024,1,20241,106.69751170795013,114.00494363055404,I 2024
Olsztyn,city,2024Q1,2024,1,20241,103.9957378795951,113.87826537888118,I 2024
Opole,city,2024Q1,2024,1,20241,105.3452168061018,114.569281180227,I 2024
Poznań,city,2024Q1,2024,1,20241,104.44228910085572,117.12018374006881,I 2024
Rzeszów,city,2024Q1,2024,1,20241,100.80171031533939,118.02252816020025,I 2024
Szczecin,city,2024Q1,2024,1,20241,102.77045307336721,112.05893433490506,I 2024
Trójmiasto,city_group,2024Q1,2024,1,20241,103.3240049813469,113.77123944519845,I 2024
Warszawa,city,2024Q1,2024,1,20241,105.82236765043798,119.17359696403997,I 2024
Wrocław,city,2024Q1,2024,1,20241,103.15453683345706,114.81059192239846,I 2024
Zielona Góra,city,2024Q1,2024,1,20241,102.42286618231321,111.49189678264135,I 2024
Łódź,city,2024Q1,2024,1,20241,107.63841807909604,113.37776719828614,I 2024
Białystok,city,2025Q1,2025,1,20251,98.21917808219179,109.63302752293578,I 2025
Bydgoszcz,city,2025Q1,2025,1,20251,105.88931384441989,106.16598703169586,I 2025
Katowice,city,2025Q1,2025,1,20251,97.81024023281006,105.894574714846,I 2025
Kielce,city,2025Q1,2025,1,20251,100.69945752080906,112.77275374514966,I 2025
Kraków,city,2025Q1,2025,1,20251,100.53703066283495,111.76628345134736,I 2025
Lublin,city,2025Q1,2025,1,20251,101.43216080402009,106.74246430460074,I 2025
Olsztyn,city,2025Q1,2025,1,20251,101.53020562138038,108.77163023679417,I 2025
Opole,city,2025Q1,2025,1,20251,104.82342399393491,112.22927821687954,I 2025
Poznań,city,2025Q1,2025,1,20251,98.43044097633683,105.1628263158533,I 2025
Rzeszów,city,2025Q1,2025,1,20251,101.21836925960636,114.52810180275716,I 2025
Szczecin,city,2025Q1,2025,1,20251,99.16056204285285,103.44407586970146,I 2025
Trójmiasto,city_group,2025Q1,2025,1,20251,100.5369183854671,107.85160197253344,I 2025
Warszawa,city,2025Q1,2025,1,20251,100.59477424497996,104.55011694523033,I 2025
Wrocław,city,2025Q1,2025,1,20251,97.35354608165744,105.27902376024463,I 2025
Zielona Góra,city,2025Q1,2025,1,20251,101.95003336330313,108.61197281810617,I 2025
Łódź,city,2025Q1,2025,1,20251,105.35301074715895,107.5372664287214,I 2025
Białystok,city,2026Q1,2026,1,20261,97.70536943552088,98.977219897722,I 2026
Bydgoszcz,city,2026Q1,2026,1,20261,99.95002498750625,102.64650465387459,I 2026
Katowice,city,2026Q1,2026,1,20261,99.64125894334177,100.62037901477274,I 2026
Kielce,city,2026Q1,2026,1,20261,103.58602610248182,102.27018164278748,I 2026
Kraków,city,2026Q1,2026,1,20261,99.73738840941073,99.68729953099951,I 2026
Lublin,city,2026Q1,2026,1,20261,99.70760233918129,101.3623978201635,I 2026
Olsztyn,city,2026Q1,2026,1,20261,100.12714234857347,103.02998587053222,I 2026
Opole,city,2026Q1,2026,1,20261,101.99431564446601,102.43551678616411,I 2026
Poznań,city,2026Q1,2026,1,20261,99.92604876251326,102.15386959006263,I 2026
Rzeszów,city,2026Q1,2026,1,20261,105.411877394636,101.89814814814815,I 2026
Szczecin,city,2026Q1,2026,1,20261,101.60099497185224,104.20285932362896,I 2026
Trójmiasto,city_group,2026Q1,2026,1,20261,102.63137628964361,107.5463300093615,I 2026
Warszawa,city,2026Q1,2026,1,20261,101.58674611625811,102.7669784498958,I 2026
Wrocław,city,2026Q1,2026,1,20261,101.33186090208153,101.55054202299812,I 2026
Zielona Góra,city,2026Q1,2026,1,20261,94.54518166786556,107.33050308386218,I 2026
Łódź,city,2026Q1,2026,1,20261,101.18421191260414,102.82386235945032,I 2026
Białystok,city,2007Q2,2007,2,20072,119.81837728081067,,II 2007
Bydgoszcz,city,2007Q2,2007,2,20072,105.56213017751479,,II 2007
Katowice,city,2007Q2,2007,2,20072,124.92290043938866,,II 2007
Kielce,city,2007Q2,2007,2,20072,119.82297356421716,,II 2007
